Nombre científico;Presentación
Panulirus guttatus;Cola enhielada
Panulirus argus;Carne
Panulirus argus;Entero
Panulirus argus;Colas
Panulirus argus;Entero enhielado
Panulirus argus;Entero fresco
Panulirus argus;Cola enhielada
Callinectes sapidus;Carne
Callinectes sapidus;Entero
Callinectes sapidus;Muelas
Callinectes sapidus;Entero enhielado
Callinectes sapidus;Entero fresco
Callinectes sapidus;Pinzas de cangrejo
Callinectes bocourti;Carne
Callinectes bocourti;Entero
Callinectes bocourti;Muelas
Callinectes bocourti;Entero enhielado
Callinectes bocourti;Entero fresco
Callinectes bocourti;Pinzas de cangrejo
Callinectes toxotes;Carne
Callinectes toxotes;Entero
Callinectes toxotes;Muelas
Callinectes toxotes;Entero enhielado
Callinectes toxotes;Entero fresco
Callinectes toxotes;Pinzas de cangrejo
Xiphopenaeus riveti;Entero
Xiphopenaeus riveti;Colas
Xiphopenaeus riveti;Entero enhielado
Xiphopenaeus riveti;Entero fresco
Xiphopenaeus riveti;Cola enhielada
Penaeus monodon;Entero
Penaeus monodon;Colas
Penaeus monodon;Entero enhielado
Penaeus monodon;Entero fresco
Penaeus monodon;Cola enhielada
Penaeus brevirostris;Entero
Penaeus brevirostris;Colas
Penaeus brevirostris;Entero enhielado
Penaeus brevirostris;Entero fresco
Penaeus brevirostris;Cola enhielada
Protrachypene precipua;Entero
Protrachypene precipua;Colas
Protrachypene precipua;Entero enhielado
Protrachypene precipua;Entero fresco
Protrachypene precipua;Cola enhielada
Solenocera agassizii;Entero
Solenocera agassizii;Colas
Solenocera agassizii;Entero enhielado
Solenocera agassizii;Entero fresco
Solenocera agassizii;Cola enhielada
Penaeus californiensis;Entero
Penaeus californiensis;Colas
Penaeus californiensis;Entero enhielado
Penaeus californiensis;Entero fresco
Penaeus californiensis;Cola enhielada
Penaeus occidentalis;Entero
Penaeus occidentalis;Colas
Penaeus occidentalis;Entero enhielado
Penaeus occidentalis;Entero fresco
Penaeus occidentalis;Cola enhielada
Sphyrna lewini;Filete
Sphyrna lewini;Tronco
Sphyrna lewini;Carne
Sphyrna lewini;Aleta
Sphyrna lewini;Descabezado
Sphyrna lewini;Entero
Sphyrna lewini;Eviscerado
